time;LTFT add. B1;LTFT add. B2;LTFT mul. B1;LTFT mul. B2;InjTmCyl1;STFT B1;STFT B2;Coolant;Lambda B1;Lambda B2;RPM
2733;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
2773;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
2814;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
2854;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
2894;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
2934;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
2973;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3013;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3054;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3094;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3134;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3174;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3213;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3253;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3294;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3334;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
3373;0.148364;-0.0635843;-1.24054;0.460815;1.3;2.22045e-14;2.22045e-14;21;1;1;0
