ARG	ID	RESULTNAME	KOMMENTAR	LABEL	DATENTYP	NAME	EINHEIT	
-	0x583D	STAT_0x583D_WERT	Reset: Quelle	RST_DET	unsigned char	-	-	
-	0x583E	STAT_0x583E_WERT	Motordrehzahl bei Reset	N_RST_DET	unsigned char	-	rpm	
-	0x583F	STAT_0x583F_WERT	Drosselklappe Sollwert	TPS_SP	unsigned char	-	°TPS	
-	0x5840	STAT_0x5840_WERT	CPU Last bei Reset	CPU_LOAD_RST_DET	unsigned char	-	%	
RTSGR	0x5841	STAT_STEUERGERAETE_INNENTEMPERATUR_ROH_WERT	SG-Innentemperatur Rohwert	V_TECU_KWP	unsigned char	-	V	
-	0x5843	STAT_0x5843_WERT	Versorgung FWG 1	VCC_PVS_1_KWP	unsigned char	-	V	
-	0x5845	STAT_0x5845_WERT	Spannung Lambdasonde VorKat 1	VLS_UP_KWP[1]	unsigned char	-	V	
-	0x5846	STAT_0x5846_WERT	Spannung Pedalwertgeber 1	V_PVS_1_KWP	unsigned char	-	V	
-	0x5847	STAT_0x5847_WERT	Spannung Pedalwertgeber 2	V_PVS_2_KWP	unsigned char	-	V	
-	0x5848	STAT_0x5848_WERT	Spannung Lambdasonde VorKat 2	VLS_UP_KWP[2]	unsigned char	-	V	
-	0x5849	STAT_0x5849_WERT	Spannung Lambdasonde HinterKat 1	VLS_DOWN_KWP[1]	unsigned char	-	V	
RUK15	0x584A	STAT_KL15_SPANNUNG_ROH_WERT	Spannung Kl. 15 Rohwert	V_IGK_BAS_KWP	unsigned char	-	V	
-	0x584B	STAT_0x584B_WERT	Spannung Lambdasonde HinterKat 2	VLS_DOWN_KWP[2]	unsigned char	-	V	
-	0x584C	STAT_0x584C_WERT	Spannung Drosselklappe Poti 2	V_TPS_2_KWP	unsigned char	-	V	
SQTEK	0x584D	STAT_TANKENTLUEFTUNG_DURCHFLUSS_SOLL_WERT	korrigierter Sollwert Durchfluss Tankentlüftung	FLOW_COR_CPS	unsigned char	-	kg/h	
-	0x584E	STAT_0x584E_WERT	Spannung Drosselklappe Poti 1	V_TPS_1_KWP	unsigned char	-	V	
-	0x584F	STAT_0x584F_WERT	Spannung Luftmasse	V_MAF	unsigned char	-	V	
-	0x5850	STAT_0x5850_WERT	Spannung Motortemperatur	V_TCO_KWP	unsigned char	-	V	
-	0x5851	STAT_0x5851_WERT	Spannung Ansauglufttemperatur	V_TIA	unsigned char	-	-	
-	0x5852	STAT_0x5852_WERT	Kühlmitteltemperatur Kühlerausgang Rohwert	V_TCO_2_KWP	unsigned char	-	V	
-	0x5853	STAT_0x5853_WERT	Spannung Kl.87 Rohwert	VB_BAS_KWP	unsigned char	-	V	
-	0x5854	STAT_0x5854_WERT	Versorgung FWG 2	VCC_PVS_2_KWP	unsigned char	-	V	
-	0x5855	STAT_0x5855_WERT	Mittelwert Bank 1	FAC_LAM_MV_MMV[1]	signed char	-	%	
-	0x5856	STAT_0x5856_WERT	Mittelwert Bank 2	FAC_LAM_MV_MMV[2]	signed char	-	%	
-	0x5858	STAT_0x5858_WERT	Drosselklappe aktueller Wert	TPS_AV	unsigned char	-	°TPS	
-	0x5859	STAT_0x5859_WERT	DMTL Strom Referenzleck	CUR_DMTL_REF_LEAK_KWP	unsigned char	-	mA	
-	0x585A	STAT_0x585A_WERT	DMTL Strom Grobleck	CUR_DMTL_ROUGH_LEAK_MIN_KWP	unsigned char	-	mA	
-	0x585B	STAT_0x585B_WERT	DMTL Strom Diagnoseende	CUR_DMTL_COR_FIL_KWP	unsigned char	-	mA	
-	0x585C	STAT_0x585C_WERT	Widerstand Lambdasonde NK 1	R_IT_LS_DOWN_KWP_H[1]	unsigned char	-	ohm	
IRLN2	0x585D	STAT_LAMBDASONDE_WIDERSTAND_NACHKAT2_WERT	Widerstand Lambdasonde NK 2	R_IT_LS_DOWN_KWP_H[2]	unsigned char	-	ohm	
IRUN1	0x585E	STAT_LAMBDASONDE_WIDERSTAND_NACHKAT1_UNTERES_BYTE_WERT	unteres Byte Widerstand Lambdasonde NK 1	R_IT_LS_DOWN_KWP_L[1]	unsigned char	-	ohm	
IRUN2	0x585F	STAT_LAMBDASONDE_WIDERSTAND_NACHKAT2_UNTERES_BYTE_WERT	unteres Byte Widerstand Lambdasonde NK 2	R_IT_LS_DOWN_KWP_L[2]	unsigned char	-	ohm	
IRLV1	0x5860	STAT_LAMBDASONDE_WIDERSTAND_VORKAT1_WERT	Widerstand Lambdasonde VK 1	R_IT_LS_UP_KWP_H[1]	unsigned char	-	ohm	
IRLV2	0x5861	STAT_LAMBDASONDE_WIDERSTAND_VORKAT2_WERT	Widerstand Lambdasonde VK 2	R_IT_LS_UP_KWP_H[2]	unsigned char	-	ohm	
IRUV1	0x5863	STAT_LAMBDASONDE_WIDERSTAND_VORKAT1_UNTERES_BYTE_WERT	untere Byte Widerstand Lambdasonde VK 1	R_IT_LS_UP_KWP_L[1]	unsigned char	-	ohm	
IRUV2	0x5864	STAT_LAMBDASONDE_WIDERSTAND_VORKAT2_UNTERES_BYTE_WERT	untere Byte Widerstand Lambdasonde VK 2	R_IT_LS_UP_KWP_L[2]	unsigned char	-	ohm	
-	0x5865	STAT_0x5865_WERT	Oelstand Mittelwert Langzeit	OZ_NIVLANGT	unsigned char	-	mm manuell	
-	0x5866	STAT_0x5866_WERT	Füllstand Motoröl	OZ_LP	unsigned char	-	-	
-	0x5867	STAT_0x5867_WERT	Kilometerstand	CTR_KM_CAN	unsigned char	-	km	
ISSR1	0x5868	STAT_STANDVERBRAUCHER_REGISTRIERT_TEIL1_WERT	Status Standverbraucher registriert Teil 1	STAT_SV_REG1	unsigned char	-	-	
ISSR2	0x5869	STAT_STANDVERBRAUCHER_REGISTRIERT_TEIL2_WERT	Status Standverbraucher registriert Teil 2	STAT_SV_REG2	unsigned char	-	-	
-	0x586A	STAT_0x586A_WERT	Batteriespannung von IBS gemessen	U_BATT	unsigned char	-	V manuell	
IZR82	0x586B	STAT_ZEIT_MIT_RUHESTROM_80_200_WERT	Zeit mit Ruhestrom 80 - 200 mA	T2HISTSHORT	unsigned char	-	min	
IZR21	0x586C	STAT_ZEIT_MIT_RUHESTROM_200_1000_WERT	Zeit mit Ruhestrom 200 - 1000 mA	T3HISTSHORT	unsigned char	-	min	
IZSST	0x586D	STAT_ZAEHLER_ERKENNUNG_SCHLECHTE_STRASSE_WERT	Zähler Erkennung schlechte Strasse	SUM_RR	unsigned char	-	-	
IZRG1	0x586E	STAT_ZEIT_MIT_RUHESTROM_GROESER_1000_WERT	Zeit mit Ruhestrom >1000 mA	T4HISTSHORT	unsigned char	-	min	
-	0x5870	STAT_0x5870_WERT	Spannung DME Umgebungsdruck	V_AMP_KWP	unsigned char	-	V	
SLAG1	0x5871	STAT_LAMBDA_SOLLWERT_GRUPPE1_WERT	Lambda-Sollwert Gruppe 1	LAMB_SP_KWP[1]	unsigned char	-	-	
SLAG2	0x5873	STAT_LAMBDA_SOLLWERT_GRUPPE2_WERT	Lambda-Sollwert Gruppe 2	LAMB_SP_KWP[2]	unsigned char	-	-	
-	0x5874	STAT_0x5874_WERT	Spannung Strommessung DMTL	V_DMTL_KWP	unsigned char	-	V	
ILMMM	0x5876	STAT_LUFTMASSE_MITTLERE_MINIMALE_WERT	Mittlere Diagnosewert minimale Luftmasse	SAF_DIAG_MIN	unsigned char	-	kg/h	
